station_name,station_code,group,left,top,게이트
문래,235,B,585,162,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 51, 53"
영등포구청,236,A,191,230,"1, 2, 3, 4, 5, 6, 50"
영등포구청,236,B,424,200,"10, 11, 12, 13, 14, 15, 51"
영등포구청,236,C,601,220,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 52"
당산,237,A,192,205,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 50"
당산,237,B,618,209,"20, 21, 22, 23, 24, 25, 26, 27, 51"
합정,238,A,198,131,"10, 11, 12, 13, 14, 15, 16, 17, 18, 51"
합정,238,B,198,201,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
합정,238,C,311,124,"45, 46, 47, 55"
합정,238,D,306,186,"40, 41, 42, 54"
합정,238,E,557,111,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 52"
합정,238,F,557,195,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 53"
홍대입구,239,A,157,192,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 51"
홍대입구,239,B,395,182,"30, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 53"
신촌,240,A,286,131,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 51"
신촌,240,B,288,234,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
신촌,240,C,489,137,"25, 26, 27, 28, 29, 30, 31, 32, 33, 52"
신촌,240,D,488,231,"34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 53"
이대,241,A,302,164,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
이대,241,B,433,164,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 51"
아현,242,A,137,82,"10, 11, 12, 13, 14, 51"
아현,242,B,141,234,"1, 2, 3, 4, 5, 50"
아현,242,C,461,95,"21, 22, 23, 24, 25, 52"
아현,242,D,459,225,"30, 31, 32, 33, 34, 35, 53"
충정로,243,A,219,211,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 50"
충정로,243,B,574,211,"20, 21, 22, 23, 24, 25, 26, 27, 28, 51"
용답,244,A,425,258,"1, 2, 3, 4, 5, 6, 7, 8, 50, 51"
신답,245,A,428,231,"1, 2, 3, 4, 5, 6, 50"
신설동,246,A,122,255,"10, 11, 12, 13, 14, 51"
신설동,246,B,610,213,"1, 2, 3, 4, 5, 50"
도림천,247,A,354,230,"1, 2, 3, 4, 5, 50"
양천구청,248,A,375,270,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 50"
신정네거리,249,A,322,150,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 51"
신정네거리,249,B,322,248,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 50"
용두,250,A,346,166,"10, 11, 12, 13, 14, 15, 16"
용두,250,B,348,282,"1, 2, 3, 4, 5, 6, 7"
지축,309,A,316,58,"1, 2, 3, 4, 5, 50"
지축,309,B,578,98,"10, 11, 12, 13, 14, 15, 51"
구파발,310,A,161,144,"1, 2, 3, 4, 5, 6, 50"
구파발,310,B,321,162,"10, 11, 12, 13, 14, 15, 16, 17, 18, 51"
구파발,310,C,580,159,"20, 21, 22, 23, 24, 25, 52"
연신내,311,A,149,81,"1, 2, 3, 5, 6, 7, 8, 9, 10, 50"
연신내,311,B,302,143,"11, 12, 13, 14, 15, 16, 17, 51"
연신내,311,C,459,101,"20, 21, 22, 23, 24, 52"
연신내,311,D,594,77,"30, 31, 32, 33, 34, 35, 36, 53"
불광,312,A,262,92,"10, 11, 12, 13, 14, 15, 51"
불광,312,B,269,210,"1, 2, 3, 4, 5, 6, 50"
불광,312,C,515,99,"20, 21, 22, 23, 24, 25, 52"
불광,312,D,516,214,"30, 31, 32, 33, 34, 35, 53"
녹번,313,A,161,153,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
녹번,313,B,580,123,"20, 21, 22, 23, 24, 25, 30, 31, 32, 33, 34, 35, 51"
홍제,314,A,253,172,"1, 2, 3, 4, 5, 6, 7, 50"
홍제,314,B,422,133,"20, 21, 22, 23, 24, 25, 51"
홍제,314,C,426,221,"10, 11, 12, 13, 14, 15"
무악재,315,A,267,143,"1, 2, 3, 4, 5, 6, 10, 50"
무악재,315,B,443,137,"11, 12, 13, 14, 51"
독립문,316,A,243,150,"1, 2, 3, 4, 5, 50"
독립문,316,B,431,146,"10, 11, 12, 13, 14, 15, 16, 51"
경복궁,317,A,188,142,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
경복궁,317,B,393,135,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 51"
경복궁,317,C,595,141,"30, 31, 32, 33, 34, 35, 52"
안국,318,A,160,85,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
안국,318,B,508,38,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 51"
종로3가,319,A,208,154,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
종로3가,319,B,622,159,"10, 11, 12, 13, 14, 15, 16, 51"
을지로3가,320,A,237,162,"1, 2, 3, 4, 5, 6, 7, 8, 50"
을지로3가,320,B,414,151,"10, 11, 12, 51"
을지로3가,320,C,507,161,"20, 21, 22, 23, 24, 25, 26, 27, 52"
동대입구,322,A,321,176,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
동대입구,322,B,547,150,"10, 11, 12, 13, 14, 15, 16, 51"
약수,323,A,290,145,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
약수,323,B,629,139,"20, 21, 22, 23, 24, 25, 26, 27, 28, 51"
금호,324,A,272,212,"1, 2, 3, 4, 5, 6, 7, 50"
금호,324,B,467,215,"10, 11, 12, 13, 14, 15, 16, 51"
옥수,325,A,172,44,"10, 11, 12, 13, 14, 51"
옥수,325,B,169,125,"1, 2, 3, 4, 50"
옥수,325,C,550,96,"20, 21, 22, 23, 24, 25, 52"
옥수,325,D,671,100,"30, 31, 32, 53"
압구정,326,A,268,138,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 51"
압구정,326,B,307,197,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 50"
압구정,326,C,500,132,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 52"
압구정,326,D,495,197,"37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 53"
신사,327,A,217,166,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 50"
신사,327,B,497,132,"20, 21, 22, 23, 24, 25, 26, 27, 28, 51"
신사,327,C,516,206,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52"
잠원,328,A,223,115,"1, 2, 3, 4, 5, 50"
잠원,328,B,514,121,"10, 11, 12, 13, 14, 51"
고속터미널,329,A,211,77,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 50"
고속터미널,329,B,460,75,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 52"
교대,330,A,269,117,"1, 2, 3, 4, 5, 6, 50"
교대,330,B,559,114,"10, 11, 12, 13, 14, 15, 16, 51"
남부터미널,331,A,251,79,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 50"
남부터미널,331,B,583,42,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 51"
남부터미널,331,C,585,117,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 52"
양재,332,A,207,215,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 50"
양재,332,B,553,216,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 51"
매봉,333,A,286,95,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 50"
도곡,334,A,163,243,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 50"
대치,335,A,113,114,"1, 2, 3, 4, 5, 6, 7, 8, 50"
대치,335,B,589,109,"20, 21, 22, 23, 24, 25, 26, 27, 51"
학여울,336,A,354,135,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 50"
대청,337,A,296,49,"1, 2, 3, 4, 5, 6, 7, 8, 50"
대청,337,B,304,131,"20, 21, 22, 23, 24, 25, 26, 27, 28, 51"
일원,338,A,415,54,"20, 21, 22, 23, 24, 25, 26, 27, 28, 51"
일원,338,B,411,156,"1, 2, 3, 4, 5, 6, 7, 8, 50"
수서,339,A,447,172,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 50"
가락시장,340,A,220,259,"1, 2, 3, 4, 50"
가락시장,340,B,384,239,"6, 7, 8, 9, 51"
경찰병원,341,A,497,154,"1, 2, 3, 4, 5, 6, 7, 8, 50"
오금,342,A,362,281,"1, 2, 3, 4, 5, 6, 50"
당고개,409,A,,,"11, 12, 13, 14, 15, 16, 17, 18, 19, 51"
당고개,409,B,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
상계,410,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
상계,410,B,,,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 51"
노원,411,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
노원,411,B,,,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 51"
창동,412,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 50"
창동,412,B,,,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 51"
쌍문,413,A,,,"10, 11, 12, 13, 14, 15, 16, 17, 51"
쌍문,413,B,,,"1, 2, 3, 4, 5, 6, 7, 8, 50"
쌍문,413,C,,,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 52"
쌍문,413,D,,,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 53"
수유,414,A,,,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 51"
수유,414,B,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
수유,414,C,,,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 52"
수유,414,D,,,"37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 53"
미아,415,A,,,"10, 11, 12, 13, 14, 15, 51"
미아,415,B,,,"1, 2, 3, 4, 5, 6, 50"
미아,415,C,,,"20, 21, 22, 23, 24, 25, 26, 27, 52"
미아,415,D,,,"30, 31, 32, 33, 34, 35, 36, 37, 53"
미아삼거리,416,A,,,"10, 11, 12, 13, 14, 15, 16, 51"
미아삼거리,416,B,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 50"
미아삼거리,416,C,,,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 52"
미아삼거리,416,D,,,"30, 31, 32, 33, 34, 35, 36, 37, 38, 53"
길음,417,A,,,"2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 50"
길음,417,B,,,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 51"
길음,417,C,,,"26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 52"
성신여대입구,418,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 50"
성신여대입구,418,B,,,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 51, 52"
한성대입구,419,A,,,"1, 2, 3, 4, 5, 6, 50"
한성대입구,419,B,,,"10, 11, 12, 13, 14, 15, 16, 51"
한성대입구,419,C,,,"20, 21, 22, 23, 24, 52"
혜화,420,A,,,"12, 13, 14, 15, 16, 17, 18, 19, 20, 51"
혜화,420,B,,,"2, 3, 4, 5, 6, 7, 8, 9, 10, 50"
혜화,420,C,,,"22, 23, 24, 26, 27, 28, 29, 30, 52"
혜화,420,D,,,"32, 33, 34, 35, 36, 38, 39, 40, 53"
동대문,421,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
동대문,421,B,,,"10, 11, 12, 13, 14, 15, 16, 17, 51"
동대문역사문화공원,422,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 50"
동대문역사문화공원,422,B,,,"20, 21, 22, 23, 24, 25, 26"
동대문역사문화공원,422,C,,,"10, 11, 12, 13, 14, 15, 16, 17, 51"
충무로,423,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 50"
충무로,423,B,,,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 51"
명동,424,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 50"
명동,424,B,,,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 51"
회현,425,A,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20, 21, 50"
회현,425,B,,,"22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 51"
서울역,426,A,,,"1, 2, 3, 4, 5, 6, 50"
서울역,426,B,,,"10, 11, 12, 13, 14, 15, 16, 17, 18, 51"
숙대입구,427,A,,,"10, 11, 12, 13, 14, 15, 16, 51"
숙대입구,427,B,,,"1, 2, 3, 4, 5, 6, 7, 50"
숙대입구,427,C,,,"20, 21, 22, 23, 24, 25, 26, 52"
숙대입구,427,D,,,"30, 31, 32, 33, 34, 35, 36, 53"
삼각지,428,A,,,"10, 11, 12, 13, 14, 15, 16, 45, 46, 47, 51, 55"
삼각지,428,B,,,"1, 2, 3, 4, 5, 6, 7, 40, 41, 42, 50, 54"
삼각지,428,C,,,"20, 21, 22, 23, 24, 52"
삼각지,428,D,,,"30, 31, 32, 33, 34, 53"
